09:02	11:00
09:08	11:23
09:12	11:25
09:17	11:41
09:20	11:42
09:22	11:49
09:30	12:04
09:35	12:06
09:48	12:08
09:55	12:11
10:06	12:12
10:08	12:14
10:10	12:37
10:16	13:08
10:23	13:11
10:29	13:21
10:30	13:22
10:34	13:29
10:39	13:31
10:40	13:34
10:44	13:47
10:46	13:54
10:47	13:55
11:05	13:58
11:14	13:59
11:15	14:00
11:27	14:01
11:39	14:14
11:46	14:17
11:48	14:28
12:01	14:35
12:02	14:42
12:05	14:54
12:06	14:57
12:18	15:00
12:25	15:14
12:30	15:17
12:42	15:20
12:43	15:23
12:46	15:33
12:52	15:47
12:55	15:59
12:59	16:08
13:24	16:11
13:29	16:13
13:31	16:24
13:33	16:28
13:40	16:31
13:59	16:45
14:00	17:00

